,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,kapaa,0,US,1579874361,93,22.08,-159.32,66.2,6.93
33,vestmannaeyjar,90,IS,1579874361,86,63.44,-20.27,33.8,8.05
34,holme,75,DK,1579874361,93,56.11,10.17,46.4,12.75
35,torbay,40,CA,1579874361,80,47.67,-52.73,34.0,16.44
36,bolobo,42,CD,1579874361,26,-2.17,16.23,96.08,5.08
37,airai,100,TL,1579874361,93,-8.93,125.41,68.04,2.15
38,tiksi,0,RU,1579874362,88,71.69,128.87,-33.86,5.79
39,piacabucu,76,BR,1579874362,64,-10.41,-36.43,86.52,13.73
40,cove,19,BJ,1579874362,7,7.22,2.34,102.0,5.79
41,karratha,0,AU,1579874047,78,-20.74,116.85,84.4,13.94
42,bridgetown,75,BB,1579874362,74,13.1,-59.62,82.4,14.99
43,vao,7,NC,1579874362,80,-22.67,167.48,77.04,20.6
44,arraial do cabo,75,BR,1579874362,73,-22.84,-46.65,77.0,6.93
45,barzas,90,RU,1579874362,86,55.72,86.32,30.2,15.66
46,barra patuca,100,BR,1579874016,88,-11.09,-43.14,73.76,9.82
47,punta arenas,40,PH,1579874362,91,8.99,125.34,75.29,5.55
48,chokurdakh,0,RU,1579874363,87,70.63,147.92,-34.94,4.79
49,samarai,1,PG,1579874363,89,-10.62,150.67,76.84,2.95
50,khilok,0,RU,1579874363,96,51.37,110.47,-5.87,1.74
51,asau,29,RO,1579874363,52,46.43,26.4,41.0,14.99
52,veraval,0,IN,1579874363,48,20.9,70.37,67.71,3.0
53,cape town,67,CL,1579874363,59,-36.41,-71.9,66.2,6.93
54,nanortalik,100,GL,1579874363,80,60.14,-45.24,29.17,1.74
55,geraldton,0,AU,1579874363,64,-28.77,114.6,73.4,25.28
56,namie,84,JP,1579874363,59,37.48,141.0,42.01,3.0
57,chara,51,RU,1579874364,74,56.91,118.26,-18.67,0.85
58,narsaq,75,GL,1579874364,86,60.92,-46.05,26.6,4.7
59,ginda,0,IN,1579874364,49,30.69,78.49,42.57,3.65
60,khatanga,100,RU,1579874364,89,71.97,102.5,-28.95,8.01
61,pinawa,16,CA,1579874364,94,50.15,-95.88,7.25,3.47
62,sassandra,66,CI,1579874364,63,4.95,-6.08,86.9,11.16
63,verkhnevilyuysk,1,RU,1579874364,95,63.45,120.32,-41.69,4.68
64,puerto ayora,90,ES,1579874364,87,36.59,-6.23,55.4,8.05
65,pimenta bueno,84,BR,1579874364,82,-20.48,-45.8,76.41,8.72
66,jalhay,90,BE,1579874365,86,50.56,5.97,37.0,3.36
67,mount gambier,40,GB,1579874365,81,53.66,-1.85,50.0,16.11
68,gumdag,100,TM,1579874365,51,39.21,54.59,46.09,5.39
69,caravelas,100,BR,1579874365,81,-17.71,-39.25,80.08,25.32
70,caernarfon,90,GB,1579874365,93,53.14,-4.27,46.4,6.93
71,portland,75,US,1579874103,81,45.52,-122.68,52.0,6.93
72,severo-kurilsk,83,RU,1579874365,87,50.68,156.12,13.87,13.4
73,marawi,15,PH,1579874365,86,8.0,124.29,79.0,5.01
74,port alfred,100,CD,1579874365,80,-7.03,29.76,77.22,13.02
75,hermanus,0,ZA,1579874366,46,-34.42,19.23,86.0,3.0
76,lebu,0,CL,1579874366,34,-37.62,-73.65,71.82,10.4
77,thompson,75,CA,1579874127,84,55.74,-97.86,3.2,4.7
78,emba,100,KZ,1579874366,94,48.83,58.14,14.27,11.74
79,tuktoyaktuk,100,CA,1579874366,96,69.45,-133.04,-13.76,11.07
80,kruisfontein,43,ZA,1579874366,61,-34.0,24.73,77.56,12.03
81,devrek,40,TR,1579874366,52,41.22,31.96,44.6,4.7
82,coquimbo,0,CL,1579874011,56,-29.95,-71.34,73.4,3.36
83,khasan,0,RU,1579874366,70,42.43,130.64,10.65,4.09
84,clyde river,90,US,1579874367,86,41.3,-82.98,42.8,8.05
85,diffa,0,NE,1579874367,8,13.32,12.61,80.24,18.99
86,ixtapa,40,MX,1579874258,94,20.7,-105.2,70.0,3.69
87,dudinka,75,RU,1579874020,71,69.41,86.18,8.6,11.18
88,saskylakh,100,RU,1579874367,83,71.92,114.08,-28.35,21.54
89,turukhansk,99,RU,1579874367,92,65.82,87.98,10.69,13.65
90,zharkovskiy,100,RU,1579874367,90,55.85,32.27,38.01,11.86
91,klaksvik,100,FO,1579874367,86,62.23,-6.59,37.4,17.22
92,sterling,90,US,1579874367,74,39.01,-77.43,39.0,2.84
93,olafsvik,100,IS,1579874007,72,64.89,-23.71,31.21,6.62
94,havoysund,40,NO,1579874367,77,71.0,24.66,32.0,17.22
95,yilan,75,TW,1579874367,94,24.76,121.75,68.0,5.82
96,victoria,40,HK,1579874368,83,22.29,114.16,72.0,11.41
97,ballina,40,AU,1579874368,83,-28.87,153.57,82.4,10.29
98,port elizabeth,100,CD,1579874365,80,-7.03,29.76,77.22,13.02
99,makakilo city,1,US,1579874242,82,21.35,-158.09,69.8,3.36
100,vestmanna,100,FO,1579874368,86,62.16,-7.17,37.4,17.22
101,uray,71,RU,1579874368,95,60.12,64.78,6.98,6.93
102,mbanza-ngungu,68,CD,1579874368,84,-5.25,14.87,78.12,6.78
103,adrar,79,MR,1579874368,13,20.5,-10.07,87.1,9.01
104,kishi,57,NG,1579874368,5,9.08,3.85,95.94,9.51
105,khandyga,32,RU,1579874369,97,62.67,135.6,-43.51,1.68
106,mys shmidta,98,RU,1579874369,97,62.06,48.62,5.43,3.76
107,christchurch,83,NZ,1579874196,93,-43.53,172.63,63.0,11.41
108,tautira,0,PF,1579874015,78,-17.73,-149.15,78.8,3.36
109,paita,40,PE,1579874369,100,-5.09,-81.11,62.6,9.17
110,chumikan,100,RU,1579874369,76,54.72,135.31,-8.77,15.97
111,kahului,40,US,1579874369,82,20.89,-156.47,68.0,3.09
112,barrow,1,US,1579874369,75,71.29,-156.79,-18.4,10.29
113,chuy,0,UY,1579874369,53,-33.7,-53.46,78.62,6.6
114,hithadhoo,53,MV,1579874369,77,-0.6,73.08,84.42,9.31
115,lira,72,UG,1579874370,23,2.23,32.91,88.97,10.74
116,butaritari,100,KI,1579874370,76,3.07,172.79,83.79,8.88
117,port-cartier,20,CA,1579874370,76,50.03,-66.87,-5.8,4.25
118,cabo san lucas,75,BR,1579874243,70,-8.28,-35.03,84.2,8.05
119,mar del plata,79,ES,1579874370,82,43.4,-4.01,55.99,5.82
120,codrington,67,AU,1579874370,86,-38.27,141.97,61.5,18.28
121,bredasdorp,0,ZA,1579874370,64,-34.53,20.04,75.2,8.05
122,mataura,100,NZ,1579874370,93,-46.19,168.86,63.0,1.01
123,pauini,100,BR,1579874370,90,-7.71,-66.98,79.92,2.28
124,cayenne,75,GF,1579874371,70,4.93,-52.33,84.2,10.29
125,upernavik,51,GL,1579874371,86,72.79,-56.15,-11.78,4.7
126,tasiilaq,75,GL,1579874371,62,65.61,-37.64,19.4,29.97
127,lieksa,63,FI,1579874371,91,63.32,30.02,25.21,6.6
128,broadstairs,75,GB,1579874371,100,51.36,1.44,46.0,5.82
129,bluff,100,NZ,1579874371,93,-46.6,168.33,63.0,1.01
130,necochea,0,AR,1579874371,55,-38.55,-58.74,87.01,15.01
131,saldanha,0,ZA,1579874371,57,-33.01,17.94,77.0,8.05
132,carnarvon,0,AU,1579874371,54,-24.87,113.63,82.4,23.04
133,namibe,20,AO,1579874371,65,-15.2,12.15,80.6,17.22
134,komsomolskiy,40,UZ,1579874372,69,40.43,71.72,39.2,2.24
135,chapais,90,CA,1579874372,84,49.78,-74.85,6.8,5.82
136,bathsheba,75,BB,1579874372,74,13.22,-59.52,82.4,14.99
137,grindavik,75,IS,1579874372,100,63.84,-22.43,32.0,9.17
138,moose factory,90,US,1579874372,100,43.66,-110.72,30.2,2.01
139,yellowknife,75,CA,1579874372,84,62.46,-114.35,5.0,9.17
140,krotoszyn,4,PL,1579874372,70,51.7,17.44,41.0,6.2
141,hilo,90,US,1579874372,83,19.73,-155.09,69.8,1.43
142,hobart,99,AU,1579874100,51,-42.88,147.33,62.6,16.11
143,camopi,20,GF,1579874373,49,3.17,-52.32,89.55,4.92
144,pueblo,1,US,1579874373,72,38.25,-104.61,33.8,6.93
145,ostrovnoy,100,RU,1579874006,86,68.05,39.51,10.26,5.48
146,husavik,90,IS,1579874373,55,66.04,-17.34,33.8,14.99
147,ambilobe,100,MG,1579874024,90,-13.2,49.05,77.25,4.65
148,saint-pierre,100,RE,1579874373,94,-21.34,55.48,82.4,20.8
149,mahibadhoo,100,MV,1579874373,83,3.78,72.97,82.51,22.53
150,baker city,1,US,1579874373,87,30.59,-91.17,48.2,3.36
151,castro,33,BR,1579874374,54,-24.79,-50.01,75.07,6.17
152,aklavik,90,CA,1579874374,83,68.22,-135.01,-5.8,4.7
153,abonnema,33,NG,1579874374,19,4.71,6.79,93.31,8.21
154,mayna,100,RU,1579874374,88,54.11,47.62,15.19,13.44
155,tamandare,67,BR,1579874374,77,-8.76,-35.1,81.81,13.62
156,leningradskiy,0,RU,1579874374,71,69.38,178.42,-23.78,3.67
157,hami,0,CN,1579874262,56,42.8,93.45,13.46,2.46
158,jawhar,78,SO,1579874374,52,2.78,45.5,88.86,21.03
159,benguela,75,AO,1579874375,66,-12.58,13.41,86.0,9.17
160,szekkutas,0,HU,1579874375,45,46.5,20.53,44.6,2.24
161,ribeira grande,40,ES,1579874375,58,42.75,-8.44,61.0,1.12
162,fairbanks,90,US,1579874134,83,64.84,-147.72,-7.01,1.59
163,cherskiy,77,RU,1579874375,96,68.75,161.3,-36.92,3.04
164,pangnirtung,5,CA,1579873933,67,66.15,-65.71,-27.4,4.83
165,lincoln,90,US,1579874194,92,40.8,-96.67,30.2,12.75
166,peniche,75,PT,1579874375,87,39.36,-9.38,57.0,9.17
167,nantucket,1,US,1579873842,92,41.28,-70.1,36.0,3.44
168,sabirabad,75,AZ,1579874375,45,40.01,48.48,42.8,13.87
169,sao filipe,0,IN,1579874358,43,20.51,76.21,71.51,4.61
170,lavrentiya,0,RU,1579874376,80,65.58,-171.0,-16.55,3.04
171,colesberg,16,ZA,1579874376,42,-30.72,25.1,78.39,20.85
172,kailua,75,US,1579874376,83,21.4,-157.74,69.8,5.17
173,vilhena,75,BR,1579874376,88,-12.74,-60.15,77.0,9.17
174,abha,40,SA,1579874376,67,18.22,42.51,59.0,16.11
175,alice springs,1,US,1579874032,93,27.75,-98.07,55.0,3.36
176,sakakah,75,SA,1579874376,62,29.97,40.21,51.8,21.92
177,vardo,75,NO,1579874017,73,70.37,31.11,24.8,13.87
178,bethel,40,US,1579874314,79,41.37,-73.41,37.99,4.7
179,kitob,42,UZ,1579874376,67,39.08,66.83,33.62,5.46
180,nianzishan,0,CN,1579874376,65,47.52,122.88,-5.28,1.45
181,labuhan,75,ID,1579874377,85,-6.88,112.21,77.81,1.66
182,touros,75,BR,1579874377,70,-5.2,-35.46,84.2,16.11
183,menongue,33,AO,1579874377,53,-14.66,17.69,80.74,5.12
184,kalmunai,26,LK,1579874034,74,7.42,81.82,81.61,15.95
185,cairns,90,AU,1579874208,94,-16.92,145.77,80.01,3.36
186,chitaga,75,CO,1579874377,100,7.14,-72.66,68.0,3.36
187,maturin,57,VE,1579874377,63,9.75,-63.18,82.6,5.59
188,martapura,20,ID,1579874377,94,-3.42,114.85,78.8,5.82
189,rio gallegos,75,GR,1579874377,58,38.3,21.78,57.2,8.05
190,puerto ayacucho,90,ES,1579874378,87,36.59,-6.23,55.4,8.05
191,mulanje,63,MW,1579874378,85,-16.03,35.5,72.34,9.53
192,kaitangata,100,NZ,1579874378,72,-46.28,169.85,68.0,10.07
193,omsukchan,100,RU,1579874043,100,62.53,155.8,-40.77,4.99
194,mitha tiwana,0,PK,1579874378,29,24.48,69.08,67.39,5.17
195,riyadh,0,SA,1579874244,33,24.69,46.72,62.6,3.36
196,burnie,100,AU,1579874378,86,-41.07,145.92,60.01,3.0
197,urumqi,75,CN,1579874378,84,43.8,87.6,9.0,6.71
198,whangamata,0,NZ,1579874379,80,-37.2,175.87,64.99,9.89
199,laguna,40,US,1579874379,100,38.42,-121.42,50.0,11.41
200,evensk,100,RU,1579874379,76,61.95,159.23,-11.94,15.7
201,debre sina,0,MK,1579874379,39,41.52,20.53,62.6,1.12
202,anadyr,75,RU,1579874379,83,64.75,177.48,-4.0,2.24
203,salalah,40,OM,1579874379,69,17.02,54.09,80.6,9.17
204,manokwari,34,ID,1579873752,81,-0.87,134.08,73.38,2.13
205,nadym,91,RU,1579874379,97,65.53,72.52,6.06,1.23
206,marsa matruh,75,MT,1579874380,77,35.88,14.5,61.0,17.22
207,msanga,40,TZ,1579874380,83,-6.05,36.03,75.2,9.17
208,farafangana,47,MG,1579874380,75,-22.82,47.83,79.3,22.53
209,maumere,9,ID,1579874041,81,-8.62,122.21,77.95,3.11
210,margate,75,GB,1579874035,100,51.38,1.39,46.0,5.82
211,ola,0,RU,1579874380,72,59.58,151.28,-21.8,8.5
212,nikolskoye,20,RU,1579874380,93,59.7,30.79,35.6,11.18
213,yerbogachen,100,RU,1579874039,97,61.28,108.01,-2.79,6.4
214,krasnoselkup,96,RU,1579874380,95,65.7,82.47,14.81,12.75
215,elat,75,IL,1579874380,55,29.56,34.95,60.8,11.41
216,axim,0,GH,1579874381,52,4.87,-2.24,91.38,10.98
217,vila velha,40,PT,1579874381,54,42.03,-8.16,61.0,3.36
218,batagay,0,RU,1579874381,93,67.63,134.63,-41.13,1.01
219,kavieng,0,PG,1579874381,66,-2.57,150.8,83.7,6.2
220,luderitz,0,NA,1579874381,44,-26.65,15.16,80.6,11.41
221,shache,99,CN,1579874381,72,38.42,77.24,24.78,9.8
222,georgetown,20,MY,1579874201,66,5.41,100.34,87.8,2.24
223,korla,28,CN,1579874381,86,41.76,86.15,13.86,2.28
224,kirakira,3,SB,1579874381,84,-10.45,161.92,77.36,3.29
225,oyek,66,RU,1579874381,64,52.59,104.46,1.4,13.42
226,cidreira,20,BR,1579874382,74,-30.18,-50.21,73.96,14.41
227,avarua,95,CK,1579874321,94,-21.21,-159.78,77.0,5.82
228,nadbai,17,IN,1579874382,43,27.23,77.2,54.82,4.5
229,araouane,100,ML,1579874027,7,18.9,-3.53,91.15,9.73
230,bose,75,IT,1579874382,56,45.46,8.01,48.2,3.36
231,bethlehem,75,BR,1579874212,74,-1.46,-48.5,84.2,10.29
232,port lincoln,100,CD,1579874382,80,-7.03,29.76,77.22,13.02
233,atagay,100,RU,1579874382,79,55.1,99.39,20.5,5.82
234,marsh harbour,40,GB,1579874382,81,53.65,-1.81,50.0,16.11
235,miri,75,MY,1579874005,94,4.41,114.01,78.8,1.12
236,abu dhabi,0,IN,1579874383,33,24.6,72.7,62.46,5.93
237,half moon bay,19,LR,1579874383,17,6.38,-10.7,99.91,5.79
238,itaituba,20,BR,1579874383,79,-4.28,-55.98,84.2,8.05
239,saharsa,3,IN,1579874383,52,25.88,86.6,57.34,2.17
240,diu,0,IN,1579874383,67,20.71,70.98,75.76,6.42
241,tagusao,2,PH,1579874383,91,9.19,117.81,74.66,3.38
242,lagoa,100,PT,1579874010,63,39.05,-27.98,56.03,7.09
243,kitimat,90,CA,1579874384,99,54.05,-128.65,33.8,2.24
244,tura,0,IN,1579874384,54,25.52,90.22,56.62,2.89
245,bengkulu,100,ID,1579874384,95,-3.8,102.27,74.71,4.9
246,eenhana,76,NA,1579874384,26,-17.47,16.33,95.0,4.7
247,matara,54,LK,1579874384,83,5.95,80.54,77.9,1.7
248,ligayan,11,PH,1579874384,81,4.65,119.47,82.31,9.42
249,kushima,98,JP,1579874384,82,31.46,131.23,55.35,1.36
250,brae,20,GB,1579874385,75,60.4,-1.35,44.6,19.46
251,musoma,75,TZ,1579874385,69,-1.5,33.8,75.2,5.01
252,huntington,90,US,1579874342,100,38.42,-82.45,46.99,6.42
253,pacific grove,90,US,1579874385,99,38.48,-90.74,34.0,3.36
254,cockburn town,0,AU,1579874008,26,-32.08,141.0,71.6,9.17
255,iqaluit,20,CA,1579874363,61,63.75,-68.51,-23.01,13.87
256,trail,100,CA,1579874385,99,49.1,-117.7,33.01,3.0
257,san cristobal,99,ML,1579874385,5,13.3,-4.9,96.57,16.96
258,grand river south east,90,US,1579874274,92,38.88,-109.5,30.0,1.28
259,belyy yar,100,RU,1579874386,92,55.84,32.94,37.47,12.17
260,emerald,90,AU,1579874386,100,-23.53,148.17,77.0,4.7
261,skibotn,40,NO,1579874386,74,69.39,20.27,30.2,10.29
262,tuatapere,100,NZ,1579874386,93,-46.13,167.68,63.0,1.01
263,high rock,1,US,1579874386,72,33.61,-95.75,39.2,11.41
264,kalabo,68,ZM,1579874386,42,-14.97,22.68,86.52,7.47
265,pilas,75,ES,1579874386,82,37.3,-6.3,59.0,4.7
266,monrovia,40,LR,1579874386,60,6.3,-10.8,86.67,11.7
267,leshukonskoye,98,RU,1579874387,99,64.9,45.76,-0.78,3.51
268,sorong,2,ID,1579874387,87,-0.88,131.25,73.36,2.26
269,sribne,100,UA,1579874387,89,50.66,32.92,33.04,13.67
270,konstantinovka,0,RU,1579874387,87,49.62,127.98,-10.39,6.11
271,fortuna,90,US,1579873859,87,40.6,-124.16,53.6,3.36
272,kofele,100,ET,1579874387,47,7.07,38.78,65.03,8.01
273,twante,40,MM,1579874387,54,16.72,95.93,82.4,4.7
274,vangaindrano,33,MG,1579874387,80,-23.35,47.6,74.41,6.85
275,faanui,33,PF,1579874387,76,-16.48,-151.75,82.06,10.87
276,buchanan,34,LR,1579874388,44,5.88,-10.05,92.75,8.25
277,shiyan,100,CN,1579874388,97,32.65,110.78,34.66,2.19
278,nome,1,US,1579874388,75,64.5,-165.41,-13.0,3.36
279,upington,0,ZA,1579874388,12,-28.45,21.26,95.0,9.17
280,bell ville,1,US,1579874003,93,31.05,-97.47,44.6,3.36
281,sakaiminato,75,JP,1579874388,65,35.55,133.23,46.4,19.46
282,bundaberg,90,AU,1579874388,78,-24.85,152.35,81.0,6.93
283,ziro,20,IN,1579874388,87,27.63,93.83,57.2,2.17
284,gallup,1,US,1579874389,85,35.53,-108.74,24.8,1.83
285,kikwit,90,CD,1579874389,39,-5.04,18.82,90.55,5.1
286,warmbad,0,NA,1579874389,16,-28.45,18.73,86.76,13.27
287,ponta do sol,75,PT,1579874389,58,38.73,-28.27,59.0,6.93
288,turbat,0,PK,1579874389,52,26.0,63.04,69.62,7.49
289,pisco,90,PE,1579874389,30,-13.7,-76.22,71.6,3.36
290,bonavista,35,CA,1579874010,79,48.65,-53.11,33.01,15.99
291,gizo,4,SB,1579874390,88,-8.1,156.84,77.72,6.42
292,diamantino,0,BR,1579874390,63,-14.41,-56.45,85.26,6.46
293,ucluelet,100,CA,1579874046,94,48.93,-125.55,48.99,1.01
294,valparaiso,31,CL,1579873895,60,-33.04,-71.63,69.8,4.7
295,upata,0,VE,1579874390,49,8.01,-62.4,84.6,5.68
296,champoton,75,MX,1579874390,93,19.35,-90.72,64.4,3.18
297,omboue,94,GA,1579874031,70,-1.57,9.26,85.96,4.74
298,palmerston,75,AU,1579874390,79,-12.49,130.98,84.99,5.82
299,ugoofaaru,87,MV,1579874391,79,5.67,73.0,82.89,19.55
300,kodiak,20,US,1579874391,56,57.79,-152.41,15.8,11.41
301,inhambane,40,MZ,1579874391,54,-23.86,35.38,84.2,11.41
302,carutapera,3,BR,1579874391,80,-1.2,-46.02,82.69,12.82
303,san carlos de bariloche,99,ML,1579874391,5,13.3,-4.9,96.57,16.96
304,rawson,95,AR,1579873995,56,-43.3,-65.1,66.2,3.24
305,alugan,2,PH,1579874045,87,12.22,125.48,79.47,10.51
306,chernyshevskiy,99,RU,1579874391,98,63.01,112.47,-18.36,2.93
307,aleksandrovskiy zavod,99,RU,1579874391,95,51.71,45.01,14.74,13.58
308,kaseda,97,JP,1579874391,81,31.42,130.32,57.16,6.67
309,cooma,90,AU,1579874014,93,-36.23,149.13,57.2,14.99
310,swan river,100,PH,1579874392,95,18.22,121.38,69.71,2.51
311,natal,75,BR,1579874267,66,-5.79,-35.21,86.0,16.11
312,pionerskiy,90,RU,1579874392,93,54.95,20.23,41.0,20.13
313,birobidzhan,0,RU,1579874392,78,48.8,132.95,-12.3,4.38
314,nouadhibou,68,MR,1579874392,46,20.93,-17.03,69.8,10.29
315,luena,40,AO,1579874392,65,-11.78,19.92,80.6,6.93
316,glamoc,0,BA,1579874392,70,44.05,16.85,32.81,6.04
317,faya,40,SA,1579874009,67,18.39,42.45,59.0,16.11
318,saint-joseph,100,RE,1579874393,94,-21.37,55.62,82.4,20.8
319,buraydah,0,SA,1579874018,18,26.33,43.98,64.4,13.87
320,palafrugell,0,ES,1579874393,62,41.92,3.16,62.01,5.64
321,kandrian,81,PG,1579874393,92,-6.22,149.55,76.17,6.06
322,goderich,100,CA,1579874047,95,43.75,-81.72,37.99,14.18
323,sembe,61,CG,1579874020,10,1.65,14.58,94.91,4.07
324,qeshm,20,IR,1579874393,56,26.96,56.27,69.8,13.87
325,tuy hoa,75,PH,1579874393,83,14.02,120.73,80.6,2.24
326,kununurra,96,AU,1579874394,83,-15.77,128.73,84.2,5.82
327,acari,55,PE,1579874035,73,-15.43,-74.62,72.36,8.3
328,yangambi,86,CD,1579874394,20,0.81,24.43,92.25,2.39
329,grand centre,90,US,1579874274,92,38.88,-109.5,30.0,1.28
330,sovetskiy,0,RU,1579874394,93,61.36,63.58,5.32,5.68
331,teya,100,RU,1579874394,94,60.38,92.63,20.05,5.55
332,andros town,0,GR,1579874394,53,37.83,24.93,55.4,14.99
333,tyazhinskiy,100,RU,1579874395,87,56.12,88.52,27.37,12.35
334,stephenville,1,US,1579874395,64,32.22,-98.2,41.0,8.05
335,porto walter,20,PT,1579874170,58,41.15,-8.61,63.0,3.36
336,bam,33,IR,1579874395,43,29.11,58.36,55.24,7.47
337,wanaka,100,NZ,1579874395,51,-44.7,169.15,72.0,4.0
338,longyearbyen,20,SJ,1579874330,65,78.22,15.64,5.0,24.16
339,pochutla,90,MX,1579874395,78,15.74,-96.47,73.4,8.32
340,taltal,22,CL,1579874007,63,-25.4,-70.48,75.06,7.36
341,westport,1,US,1579873820,74,41.14,-73.36,39.99,4.7
342,itacoatiara,69,BR,1579874396,83,-3.14,-58.44,84.2,3.36
343,isangel,83,VU,1579874396,85,-19.55,169.27,76.77,14.63
344,maceio,75,BR,1579874396,66,-9.67,-35.74,86.0,11.41
345,kiunga,64,PG,1579874396,98,-6.12,141.29,74.39,1.86
346,namatanai,22,PG,1579874396,78,-3.67,152.43,82.99,9.08
347,kisangani,43,CD,1579874396,25,0.52,25.2,92.41,2.39
348,esperance,0,AU,1579874396,93,-33.87,121.9,62.6,8.05
349,ilulissat,75,GL,1579874397,56,69.22,-51.1,14.0,3.36
350,nabire,98,ID,1579874397,97,-3.37,135.48,73.85,1.45
351,borogontsy,52,RU,1579874397,96,62.67,131.17,-42.36,1.52
352,santa maria,99,PH,1579874397,82,17.49,120.43,71.92,5.3
353,neryungri,86,RU,1579874397,93,56.67,124.65,-19.19,3.09
354,boa vista,65,CM,1579874026,61,4.43,8.97,86.9,11.3
355,negombo,20,LK,1579874397,66,7.21,79.84,86.0,10.29
356,boguchany,100,RU,1579874397,91,58.38,97.45,25.95,10.11
357,orlik,96,RU,1579874397,87,52.52,99.83,-4.56,5.01
358,arandis,0,NA,1579874398,82,-22.42,14.97,72.0,5.99
359,carauari,100,BR,1579874398,60,-4.88,-66.9,88.68,2.68
360,lydenburg,87,ZA,1579874348,73,-25.1,30.46,79.0,4.76
361,kambove,100,CD,1579874398,90,-10.88,26.6,71.76,3.74
362,sao joao da barra,0,IN,1579874398,43,20.51,76.21,71.51,4.61
363,avera,90,US,1579874398,93,33.19,-82.53,53.6,9.17
364,acarau,24,BR,1579874031,51,-2.89,-40.12,90.81,13.4
365,acacoyagua,20,MX,1579874398,100,15.35,-92.65,66.2,1.88
366,maningrida,100,AU,1579874398,78,-12.07,134.27,84.9,14.43
367,wanning,35,CN,1579874005,87,18.8,110.4,70.52,6.44
368,san patricio,99,ML,1579874399,5,13.3,-4.9,96.57,16.96
369,xining,14,CN,1579874399,82,36.62,101.77,15.44,1.9
370,mahebourg,75,MU,1579874399,83,-20.41,57.7,82.4,6.93
371,norman wells,40,US,1579874399,80,35.22,-97.44,37.0,12.75
372,grand gaube,90,US,1579873912,92,38.88,-109.5,30.0,1.28
373,kousseri,0,CM,1579874399,6,12.08,15.03,86.0,12.75
374,pecos,1,US,1579874399,86,31.42,-103.49,33.8,9.64
375,paka,0,MY,1579874399,83,4.64,103.44,77.0,1.12
376,souillac,75,MU,1579874399,83,-20.52,57.52,82.4,6.93
377,neokhorion,17,GR,1579874400,54,41.18,23.25,53.01,4.0
378,aksu,100,CN,1579873968,75,41.12,80.26,24.4,3.0
379,oksfjord,75,NO,1579874400,64,70.24,22.35,33.8,10.29
380,bilibino,82,RU,1579874009,74,68.05,166.44,-29.34,2.64
381,fort nelson,90,NL,1579874401,93,52.65,6.39,39.0,11.41
382,banyo,26,CM,1579874401,7,6.75,11.82,89.31,7.58
383,anahuac,0,MX,1579874401,61,27.23,-100.15,56.93,9.01
384,bambous virieux,75,MU,1579874401,83,-20.26,57.41,82.4,6.93
385,mikkeli,63,FI,1579874401,92,61.67,27.25,30.2,4.7
386,nhulunbuy,100,AU,1579874402,78,-12.23,136.77,82.4,6.93
